"Abomasnowita","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Abono Brote","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Abono del TMV","Sexta","    X        Y    ","No se puede vender","Objeto clave"
"Abono Fértil","Sexta","    X        Y    ","No se puede vender","Objeto clave"
"Abono Fijador","Sexta","    X        Y    ","No se puede vender","Objeto clave"
"Abono Fructífero","Sexta","    X        Y    ","No se puede vender","Objeto clave"
"Abono Insólito","Sexta","    X        Y    ","No se puede vender","Objeto clave"
"Abono Lento","Sexta","    X        Y    ","No se puede vender","Objeto clave"
"Abono Rápido","Sexta","    X        Y    ","No se puede vender","Objeto clave"
"Abono Sorpresa","Sexta","    X        Y    ","No se puede vender","Objeto clave"
"Absolita","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Acopio Ball","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Acromáquina","Sexta","   N2      B2   ","No se puede vender","Objeto clave"
"Activaobjeto","Sexta","   N2      B2   ","No se puede vender","Objeto clave"
"Aerodactylita","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Aerostal Z","Séptima","No está a la venta","No se puede vender","Cristal Z"
"Aggronita","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Agua Fresca","Primera","200","1001","Comida Pokémon"
"Agua Mística","Segunda","No está a la venta","50","Objeto potenciador"
"Ala Arcoíris","Segunda","No está a la venta","50","Objeto potenciador"
"Alakazamita","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Alo-Raistal Z","Séptima","No está a la venta","No se puede vender","Cristal Z"
"Altarianita","Séptima","No se puede vender","No se puede vender","Megapiedra"
"Ámbar Viejo","Primera","No está a la venta","5001","Fósil"
"Amigo Ball","Primera","No está a la venta","5001","Fósil"
"Amor Ball","Primera","No está a la venta","5001","Fósil"
"Ampharosita","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Amuleto","Segunda","No está a la venta","100","Lista de objetos"
"Amuleto Iris","Segunda","No está a la venta","100","Lista de objetos"
"Amuleto Oval","Segunda","No está a la venta","100","Lista de objetos"
"Ánfora","Segunda","No está a la venta","100","Lista de objetos"
"Antiderretir","Segunda","No está a la venta","50","Objeto potenciador"
"Antídoto","Segunda","No está a la venta","50","Objeto potenciador"
"Antihielo","Primera","250","125","Restaurador de estado"
"Antiparalizador","Primera","200","100","Restaurador de estado"
"Antiquemar","Primera","250","125","Restaurador de estado"
"Arca de Zygarde","Primera","    S        L    ","125","Objeto clave"
"Arena Fina","Segunda","No está a la venta","50","Objeto potenciador"
"Ash-Pikastal Z","Séptima","No está a la venta","No se puede vender","Cristal Z"
"Ataque X","Séptima","No está a la venta","No se puede vender","Cristal Z"
"Ataque X 2","Séptima","No está a la venta","No se puede vender","Cristal Z"
"Ataque X 3","Séptima","No está a la venta","No se puede vender","Cristal Z"
"Ataque X 6","Séptima","No está a la venta","No se puede vender","Cristal Z"
"Audinita","Séptima","No se puede vender","No se puede vender","Megapiedra"
"Banda Atadura","Séptima","No se puede vender","No se puede vender","Megapiedra"
"Banda Focus","Cuarta","No está a la venta","100","Lista de objetos"
"Banda Recia","Cuarta","No está a la venta","100","Lista de objetos"
"Banettita","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Barrita Plus","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Acardo","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Alcho","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Algama","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Andano","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Ango","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Anjiro","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Aostan","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Arabol","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Aranja","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Aricoc","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Aslac","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Atania","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Baribá","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Biglia","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Caoca","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Caquic","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Chilan","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Chiri","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Dillo","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Drasi","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Enigma","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Frambu","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Gonlan","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Grana","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Gualot","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Guaya","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Hibis","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Higog","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Ispero","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Jaboca","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Kebia","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Kouba","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Lagro","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Latano","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Lichi","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Magua","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Mais","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Maranga","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Meloc","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Meluce","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Monli","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Oram","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Pabaya","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Pasio","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Payapa","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Peragu","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Perasi","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Pinia","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Plama","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Pomaro","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Rautan","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Rimoya","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Rudion","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Safre","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Sambia","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Tamar","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Tamate","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Uvav","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Wikano","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Wiki","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Yapati","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Yecana","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Zanama","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Zidra","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Ziuela","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Zonlan","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Baya Zreza","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Beedrillita","Sexta","No está a la venta","No se puede vender","Megapiedra"
"Bici","Sexta","Todos 1","No se puede vender","Objeto clave"
"Bici Acrobática","Sexta","Todos 1","No se puede vender","Objeto clave"
"Bici de Carreras","Sexta","Todos 1","No se puede vender","Objeto clave"
"Blanco","Quinta","No está a la venta","100","Lista de objetos"
"Blastoisita","Sexta","10,000-1,000,000","No se puede vender","Megapiedra"
"Blazikenita","Sexta","1500","No se puede vender","Megapiedra"
"Bloc Unown","Sexta","   HG      SS   ","No se puede vender","Objeto clave"
"Bola de Nieve","Sexta","   HG      SS   ","No se puede vender","Objeto clave"
"Bola Férrea","Sexta","   HG      SS   ","No se puede vender","Objeto clave"
"Bola Humo","Sexta","   HG      SS   ","No se puede vender","Objeto clave"
"Bola Luminosa","Sexta","   HG      SS   ","No se puede vender","Objeto clave"
"Boleto Handsome","Sexta","    X        Y    ","No se puede vender","Objeto clave"
"Bolsa Sellos","Sexta","    X        Y    ","No se puede vender","Objeto clave"
"Bombona Devon","Sexta","    RΩ        Zα    ","No se puede vender","Objeto clave"
"Bonguri Amarillo","Sexta","    RΩ        Zα    ","No se puede vender","Objeto clave"
"Bonguri Azul","Sexta","    RΩ        Zα    ","No se puede vender","Objeto clave"
"Bonguri Blanco","Sexta","    RΩ        Zα    ","No se puede vender","Objeto clave"
"Bonguri Negro","Sexta","    RΩ        Zα    ","No se puede vender","Objeto clave"
"Bonguri Rojo","Sexta","    RΩ        Zα    ","No se puede vender","Objeto clave"
"Bonguri Rosa","Sexta","    RΩ        Zα    ","No se puede vender","Objeto clave"
"Bonguri Verde","Sexta","    RΩ        Zα    ","No se puede vender","Objeto clave"
"Botón Escape","Quinta","No está a la venta","100","Lista de objetos"
"Brazal","Quinta","No está a la venta","100","Lista de objetos"
