"Ivysaur","002","planta","veneno","Espesura","Clorofila","Fósil Hélix","60","62","63","60","80","80","Pikatormenta","Hiperrayo","Joltioparálisis","Danza Despertar"
"Venusaur","003","planta","veneno","Espesura","Clorofila","Pidgeotita","80","82","83","80","100","100","Chorro de Vapor","Acupresión","Hierba Lazo","Afilagarras"
"Charmander","004","fuego","","Mar Llamas","Poder Solar","Periscopio","39","52","43","65","60","50","Torm. Diamantes","Puño Mareo","Puño Dinámico","Empujón"
"Charmeleon","005","fuego","","Mar Llamas","Poder Solar","Refresco","58","64","58","80","80","65","Presa Espectral","Zona Extraña","Golpe Cuerpo","Follaje"
"Charizard","006","fuego","volador","Mar Llamas","Poder Solar","Gema Bicho","78","84","78","100","109","85","Aluvión de Flechas Sombrías","Cabeza Sorpresa","Llama Azul","Colmillo Hielo"
"Squirtle","007","agua","","Torrente","Cura Lluvia","Tabla Acero","44","48","65","43","50","64","Paso Dimensional","Pirotecnia","Robo","Agujero Negro Aniquilador"
"Wartortle","008","agua","","Torrente","Cura Lluvia","Solgaleostal Z","59","63","80","58","65","80","Clonatipo","Torm. Diamantes","Martillazo","Ladrón"
"Blastoise","009","agua","","Torrente","Cura Lluvia","Rubí","79","83","100","78","85","105","Copión","Sylveotornado","Golpe Fantasma","Meteorobola"
"Caterpie","010","bicho","","Polvo Escudo","Fuga","Refresco","45","30","35","45","20","20","Aromaterapia","Psicocarga","Psicoonda","Zona Mágica"
"Metapod","011","bicho","","Mudar","Mudar","Refresco","50","20","55","30","25","25","Reserva","Tiro Vital","Zona Mágica","Alarido"
"Butterfree","012","bicho","volador","Ojo Compuesto","Cromolente","Tarjeta Datos 10","60","45","50","70","90","80","Golpe Calor","Pico Cañón","Patada Tropical","Lanzarrocas"
"Weedle","013","bicho","veneno","Polvo Escudo","Fuga","Refresco","40","35","30","50","20","20","Moflete Estático","Paso Dimensional","Humareda","Sincrorruido"
"Kakuna","014","bicho","veneno","Mudar","Mudar","Refresco","45","25","50","35","25","25","Recogearena","Salmuera","Carrera Arrolladora","Patada Salto"
"Beedrill","015","bicho","veneno","Enjambre","Francotirador","Meteorito","65","90","40","75","45","80","Cuchilla Solar","Premonición","Campo Psíquico","Humareda"
"Pidgey","016","normal","volador","Vista Lince/Tumbos","Sacapecho","Electrizador","40","45","40","56","35","35","Aguijón Letal","Cambio de Marcha","Bomba Germen","Frustración"
"Pidgeotto","017","normal","volador","Vista Lince/Tumbos","Sacapecho","MO05","63","60","55","71","50","50","Golpes Furia","Hidrobomba","Doble Rayo","Represión Metal"
"Pidgeot","018","normal","volador","Vista Lince/Tumbos","Sacapecho","Metalostal Z","83","80","75","101","70","70","Danza Llama","Salpicar","Alivio","Luz Aniquiladora"
"Rattata","019","normal","","Fuga/Agallas","Entusiasmo","Polvo Brillo","30","56","35","72","25","35","Ultrapuño","Estruendo Implacable","Pin Misil","Corte Vacío"
"Raticate","020","normal","","Fuga/Agallas","Entusiasmo","MT57","55","81","60","97","50","70","Refugio","Aligerar","Cabezazo Zen","Cháchara"
"Spearow","021","normal","volador","Vista Lince","Francotirador","Normastal Z","40","60","30","70","31","31","Plancha Voladora","Disparo Espejo","Sentencia","Barrena Telúrica"
